CUENTA,SEXO,CAMPUS,NIVEL,INDICE GENERAL,INDICE GRADUACION,CLASES APROBADAS,CLASES PLAN,CLASES MATRICULADAS,CLASES RET SD,NOMBRE MATERIA,ESTADO,FACULTAD/AREA,NombreCarrera
C21915140 ,FEMENINO,UNITEC-SPS,CFP,0.00,0.00,0.00,8.00,3,3,FUNDAMENTOS DE LAS NIIF       ,RET,CFP,CFP
21713009  ,FEMENINO,UNITEC-SPS,POSTGRADO,92.09,92.00,16.00,17.00,1,1,PROYECTO DE GRADUACIÓN        ,RET,POSTGRADO,RRHH
21713091  ,FEMENINO,UNITEC-SPS,POSTGRADO,88.40,88.00,16.00,17.00,1,1,PROYECTO DE GRADUACIÓN        ,RET,POSTGRADO,Dir. Empresarial
21813040  ,FEMENINO,UNITEC-SPS,POSTGRADO,0.00,0.00,0.00,13.00,1,1,ESTADIS. EN ORGANIZACIONES    ,RET,POSTGRADO,Dir. Empresarial
21641286  ,MASCULINO,UNITEC-SPS,PREGRADO,0.00,67.00,6.00,64.00,1,1,INTRODUCCIÓN AL ÁLGEBRA       ,RET,FIA,Ing. Sistemas
21911009  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,64.00,4,4,INTRODUCCIÓN AL ÁLGEBRA       ,SD,FIA,Ing. Sistemas
21911009  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,64.00,4,4,OFIMÁTICA AVANZADA            ,SD,FIA,Ing. Sistemas
21911009  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,64.00,4,4,HISTORIA DE HONDURAS          ,SD,FIA,Ing. Sistemas
21911009  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,64.00,4,4,COMUNICACIÓN ORAL Y ESCRITA   ,SD,FIA,Ing. Sistemas
21911154  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,74.00,4,4,OFIMÁTICA I                   ,SD,FIA,Arquitectura
21911154  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,74.00,4,4,ESPAÑOL                       ,SD,FIA,Arquitectura
21911154  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,74.00,4,4,PERCEPCIÓN / REPRESENTACIÓN I  ,SD,FIA,Arquitectura
21911154  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,74.00,4,4,INTRODUCCIÓN AL DISEÑO        ,SD,FIA,Arquitectura
21911418  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,74.00,1,1,INGLES I                      ,SD,FIA,Arquitectura
21911176  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,59.00,4,4,INTRODUCCIÓN AL ÁLGEBRA       ,RET,FIA,Ing. Energía
21911176  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,59.00,4,4,OFIMÁTICA AVANZADA            ,RET,FIA,Ing. Energía
21911176  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,59.00,4,4,COMUNICACIÓN ORAL Y ESCRITA   ,RET,FIA,Ing. Energía
21911176  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,59.00,4,4,INTRODUC. A LA ING. EN ENERGÍA,RET,FIA,Ing. Energía
21541063  ,MASCULINO,UNITEC-SPS,PREGRADO,62.92,73.00,4.00,64.00,1,1,FILOSOFÍA                     ,SD,FIA,Ing. Industrial
21911125  ,MASCULINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,74.00,4,4,OFIMÁTICA I                   ,RET,FIA,Ing. Mecatro.
21911125  ,MASCULINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,74.00,4,4,ESPAÑOL                       ,RET,FIA,Ing. Mecatro.
21911125  ,MASCULINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,74.00,4,4,INTRODUCCIÓN AL ÁLGEBRA       ,RET,FIA,Ing. Mecatro.
21911125  ,MASCULINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,74.00,4,4,INTRO.  A LA MECATRÓNICA      ,RET,FIA,Ing. Mecatro.
21911141  ,MASCULINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,74.00,4,4,INTRO.  A LA MECATRÓNICA      ,SD,FIA,Ing. Mecatro.
21911141  ,MASCULINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,74.00,4,4,INTRODUCCIÓN AL ÁLGEBRA       ,SD,FIA,Ing. Mecatro.
21911141  ,MASCULINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,74.00,4,4,OFIMÁTICA I                   ,SD,FIA,Ing. Mecatro.
21911141  ,MASCULINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,74.00,4,4,ESPAÑOL                       ,SD,FIA,Ing. Mecatro.
21911282  ,MASCULINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,74.00,3,3,INTRODUCCIÓN AL ÁLGEBRA       ,SD,FIA,Ing. Mecatro.
21911282  ,MASCULINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,74.00,3,3,INTRO.  A LA MECATRÓNICA      ,SD,FIA,Ing. Mecatro.
21911282  ,MASCULINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,74.00,3,3,FILOSOFÍA                     ,SD,FIA,Ing. Mecatro.
21911184  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,58.00,4,4,INTRODUCCIÓN AL ÁLGEBRA       ,SD,FCAS,Finanzas
21911184  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,58.00,4,4,ESPAÑOL                       ,SD,FCAS,Finanzas
